/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 2.52e+03   |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 417        |
|    time_elapsed         | 17430      |
|    total_timesteps      | 3416064    |
| train/                  |            |
|    approx_kl            | 0.01083616 |
|    clip_fraction        | 0.11       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.608     |
|    explained_variance   | 0.446      |
|    learning_rate        | 1.59e-05   |
|    loss                 | 0.767      |
|    n_updates            | 4160       |
|    policy_gradient_loss | -0.0112    |
|    value_loss           | 1.54       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 4.29e+03     |
|    ep_rew_mean          | 2.51e+03     |
| time/                   |              |
|    fps                  | 195          |
|    iterations           | 418          |
|    time_elapsed         | 17470        |
|    total_timesteps      | 3424256      |
| train/                  |              |
|    approx_kl            | 0.0120840445 |
|    clip_fraction        | 0.12         |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.6         |
|    explained_variance   | 0.469        |
|    learning_rate        | 1.58e-05     |
|    loss                 | 0.899        |
|    n_updates            | 4170         |
|    policy_gradient_loss | -0.0102      |
|    value_loss           | 1.7          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.24e+03   |
|    ep_rew_mean          | 2.48e+03   |
| time/                   |            |
|    fps                  | 196        |
|    iterations           | 419        |
|    time_elapsed         | 17511      |
|    total_timesteps      | 3432448    |
| train/                  |            |
|    approx_kl            | 0.01079309 |
|    clip_fraction        | 0.1        |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.577     |
|    explained_variance   | 0.454      |
|    learning_rate        | 1.58e-05   |
|    loss                 | 0.488      |
|    n_updates            | 4180       |
|    policy_gradient_loss | -0.011     |
|    value_loss           | 1.52       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.18e+03    |
|    ep_rew_mean          | 2.45e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 420         |
|    time_elapsed         | 17551       |
|    total_timesteps      | 3440640     |
| train/                  |             |
|    approx_kl            | 0.012096699 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.603      |
|    explained_variance   | 0.446       |
|    learning_rate        | 1.57e-05    |
|    loss                 | 0.379       |
|    n_updates            | 4190        |
|    policy_gradient_loss | -0.0106     |
|    value_loss           | 1.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.15e+03    |
|    ep_rew_mean          | 2.42e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 421         |
|    time_elapsed         | 17591       |
|    total_timesteps      | 3448832     |
| train/                  |             |
|    approx_kl            | 0.011023733 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.597      |
|    explained_variance   | 0.47        |
|    learning_rate        | 1.56e-05    |
|    loss                 | 0.596       |
|    n_updates            | 4200        |
|    policy_gradient_loss | -0.011      |
|    value_loss           | 1.4         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.19e+03    |
|    ep_rew_mean          | 2.45e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 422         |
|    time_elapsed         | 17632       |
|    total_timesteps      | 3457024     |
| train/                  |             |
|    approx_kl            | 0.012135863 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.598      |
|    explained_variance   | 0.423       |
|    learning_rate        | 1.55e-05    |
|    loss                 | 1.02        |
|    n_updates            | 4210        |
|    policy_gradient_loss | -0.00941    |
|    value_loss           | 1.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.14e+03    |
|    ep_rew_mean          | 2.4e+03     |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 423         |
|    time_elapsed         | 17673       |
|    total_timesteps      | 3465216     |
| train/                  |             |
|    approx_kl            | 0.010758283 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.445       |
|    learning_rate        | 1.54e-05    |
|    loss                 | 0.828       |
|    n_updates            | 4220        |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 1.61        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.24e+03    |
|    ep_rew_mean          | 2.46e+03    |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 424         |
|    time_elapsed         | 17713       |
|    total_timesteps      | 3473408     |
| train/                  |             |
|    approx_kl            | 0.011241045 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.602      |
